Timestamp,MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label,Time
15:43:50.943,323,239,478,252,430,21.2,36.6,471,0,2024-12-01 12:00:00
15:14:56.937,308,245,450,258,427,21.6,35.7,735,0,2024-12-01 12:00:01
15:21:31.184,330,231,452,297,433,21.8,36.0,607,0,2024-12-01 12:00:02
15:46:30.963,322,239,472,258,464,21.7,36.4,496,0,2024-12-01 12:00:03
15:31:48.096,317,226,452,256,427,22.0,36.0,533,0,2024-12-01 12:00:04
14:51:06.849,319,265,490,231,441,22.4,35.3,428,0,2024-12-01 12:00:05
15:28:18.386,335,239,463,241,428,22.3,36.2,549,0,2024-12-01 12:00:06
14:47:21.860,311,227,438,244,443,22.7,35.3,404,0,2024-12-01 12:00:07
15:11:17.528,325,238,486,207,433,22.7,35.7,569,0,2024-12-01 12:00:08
15:15:33.942,327,244,450,244,427,22.9,35.4,671,0,2024-12-01 12:00:09
14:58:27.351,324,240,435,279,439,23.0,35.6,635,0,2024-12-01 12:00:10
15:18:24.162,317,224,462,277,435,23.2,35.9,735,0,2024-12-01 12:00:11
15:00:16.716,320,247,445,232,428,23.2,35.5,646,0,2024-12-01 12:00:12
15:35:19.923,321,242,474,244,430,23.4,36.6,665,0,2024-12-01 12:00:13
15:37:15.323,320,241,474,242,431,23.5,36.4,506,0,2024-12-01 12:00:14
15:42:54.957,324,205,479,233,436,23.5,36.5,474,0,2024-12-01 12:00:15
15:43:16.615,327,246,488,243,442,23.7,36.4,544,0,2024-12-01 12:00:16
15:53:01.805,335,239,484,244,432,23.9,36.4,589,0,2024-12-01 12:00:17
15:46:57.367,329,250,478,292,435,24.1,36.3,589,0,2024-12-01 12:00:18
15:28:43.744,324,246,467,254,370,24.4,36.2,514,0,2024-12-01 12:00:19
15:49:14.724,318,238,483,250,436,24.3,36.4,548,0,2024-12-01 12:00:20
15:39:05.167,334,239,477,244,422,24.6,36.5,580,0,2024-12-01 12:00:21
15:25:40.972,312,245,485,254,432,24.7,36.1,658,0,2024-12-01 12:00:22
14:51:14.243,330,255,467,218,436,25.1,35.4,522,0,2024-12-01 12:00:23
15:45:45.003,316,247,483,259,429,24.9,36.3,460,0,2024-12-01 12:00:24
15:17:19.676,325,292,460,245,432,25.2,35.7,645,0,2024-12-01 12:00:25
15:42:42.282,324,248,493,249,428,25.2,36.3,411,0,2024-12-01 12:00:26
14:48:16.254,326,266,483,254,448,25.7,35.3,274,0,2024-12-01 12:00:27
15:10:18.331,322,257,478,251,444,25.8,35.5,741,0,2024-12-01 12:00:28
15:00:33.100,299,256,448,237,440,25.9,35.5,627,0,2024-12-01 12:00:29
15:19:15.429,327,240,465,241,435,26.0,35.9,797,0,2024-12-01 12:00:30
15:07:59.793,306,255,440,232,436,26.1,35.6,712,0,2024-12-01 12:00:31
15:51:53.676,356,264,475,280,438,26.0,36.6,525,0,2024-12-01 12:00:32
15:04:25.174,331,269,461,274,450,26.6,35.6,673,0,2024-12-01 12:00:33
15:48:57.296,336,250,485,260,437,26.4,36.4,556,0,2024-12-01 12:00:34
15:32:01.827,326,239,479,261,424,26.9,35.9,529,0,2024-12-01 12:00:35
15:02:37.297,320,243,452,245,455,26.9,35.6,643,0,2024-12-01 12:00:36
15:41:25.676,320,251,460,265,447,26.9,36.3,502,0,2024-12-01 12:00:37
15:29:50.846,326,242,481,249,444,27.2,36.1,635,0,2024-12-01 12:00:38
15:49:21.590,314,243,482,274,440,27.2,36.6,523,0,2024-12-01 12:00:39
15:38:05.494,338,252,509,244,431,27.2,36.6,524,0,2024-12-01 12:00:40
15:49:20.005,339,249,480,283,438,27.5,36.7,440,0,2024-12-01 12:00:41
14:51:40.124,334,248,497,252,429,27.9,35.5,418,0,2024-12-01 12:00:42
15:47:45.450,337,266,478,265,440,27.8,36.7,531,0,2024-12-01 12:00:43
15:31:56.546,323,257,472,264,455,28.0,36.1,569,0,2024-12-01 12:00:44
15:46:29.906,327,237,540,272,450,28.0,36.5,482,0,2024-12-01 12:00:45
15:24:48.156,320,242,475,245,448,28.3,36.1,737,0,2024-12-01 12:00:46
15:12:07.224,327,252,476,254,443,28.6,35.9,787,0,2024-12-01 12:00:47
15:34:20.257,321,252,467,258,457,28.5,36.4,635,0,2024-12-01 12:00:48
14:51:46.990,341,271,473,257,450,29.0,35.5,393,0,2024-12-01 12:00:49
15:00:07.208,329,266,466,254,443,29.0,35.5,673,0,2024-12-01 12:00:50
15:39:02.528,347,256,487,267,457,29.0,36.5,534,0,2024-12-01 12:00:51
14:54:05.906,340,269,456,243,453,29.4,35.3,611,0,2024-12-01 12:00:52
15:56:21.980,343,259,483,255,442,29.2,36.6,712,0,2024-12-01 12:00:53
14:48:43.719,337,271,478,236,441,29.7,35.3,372,0,2024-12-01 12:00:54
15:46:37.829,333,246,483,269,434,29.7,36.3,601,0,2024-12-01 12:00:55
15:10:17.274,334,257,471,253,445,29.9,35.5,645,0,2024-12-01 12:00:56
15:19:47.672,336,252,524,263,453,30.1,35.9,632,0,2024-12-01 12:00:57
15:14:17.811,325,249,465,264,459,30.2,35.7,802,0,2024-12-01 12:00:58
15:24:05.377,328,248,491,249,455,30.3,36.1,567,0,2024-12-01 12:00:59
15:35:58.997,330,243,491,263,445,30.4,36.4,626,0,2024-12-01 12:01:00
15:14:25.214,335,253,497,257,448,30.6,35.9,627,0,2024-12-01 12:01:01
15:41:38.881,322,252,470,283,454,30.7,36.4,577,0,2024-12-01 12:01:02
15:20:10.914,337,249,476,251,461,30.9,35.9,865,0,2024-12-01 12:01:03
14:56:52.794,329,265,494,251,450,31.1,35.6,640,0,2024-12-01 12:01:04
15:10:02.471,328,239,461,250,452,31.3,35.9,783,0,2024-12-01 12:01:05
14:59:33.398,341,234,466,219,457,31.4,35.4,657,0,2024-12-01 12:01:06
15:18:46.891,341,241,474,243,449,31.6,35.9,871,0,2024-12-01 12:01:07
15:06:34.671,329,251,533,261,443,31.8,35.7,609,0,2024-12-01 12:01:08
15:01:42.857,331,260,469,247,455,32.0,35.5,605,0,2024-12-01 12:01:09
15:31:22.745,335,247,528,273,472,32.0,36.0,537,0,2024-12-01 12:01:10
14:53:57.983,335,279,472,293,463,32.3,35.4,513,0,2024-12-01 12:01:11
15:20:06.161,334,250,470,262,453,32.3,36.0,655,0,2024-12-01 12:01:12
15:35:32.069,343,243,508,253,458,32.4,36.4,621,0,2024-12-01 12:01:13
14:54:56.617,316,273,470,258,450,32.8,35.3,457,0,2024-12-01 12:01:14
15:37:07.405,336,261,494,266,449,32.6,36.6,512,0,2024-12-01 12:01:15
15:49:49.575,340,247,510,310,453,32.8,36.4,456,0,2024-12-01 12:01:16
14:53:47.951,334,273,477,245,434,33.2,35.3,500,0,2024-12-01 12:01:17
15:31:31.194,346,249,505,250,459,33.2,35.9,599,0,2024-12-01 12:01:18
15:32:30.356,332,239,493,262,464,33.3,36.2,460,0,2024-12-01 12:01:19
15:33:09.479,329,253,481,263,447,33.5,36.3,536,0,2024-12-01 12:01:20
15:20:51.577,339,254,489,260,452,33.6,36.0,687,0,2024-12-01 12:01:21
15:30:20.957,347,258,492,273,456,33.8,36.0,564,0,2024-12-01 12:01:22
15:11:52.417,344,257,519,261,462,34.0,35.7,708,0,2024-12-01 12:01:23
15:30:13.035,336,234,499,249,458,34.1,36.0,594,0,2024-12-01 12:01:24
