MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label
319,235,449,215,429,21.5,35.6,617,0
325,249,474,231,426,21.5,35.7,701,0
318,250,491,236,428,21.5,35.7,641,0
316,245,442,230,428,21.5,35.6,630,0
294,246,440,237,438,21.5,35.6,736,0
313,259,437,232,430,21.4,35.6,633,0
303,242,431,230,432,21.6,35.5,643,0
332,247,443,236,437,21.5,35.4,625,0
320,256,446,235,436,21.5,35.7,673,0
306,240,440,230,426,21.6,35.6,695,0
310,251,452,229,428,21.6,35.5,670,0
322,243,452,230,424,21.5,35.6,705,0
321,235,456,234,434,21.6,35.8,751,0
317,250,451,248,434,21.5,35.6,647,0
321,250,457,226,432,21.5,35.6,633,0
324,250,454,233,425,21.5,35.7,636,0
325,245,500,229,435,21.5,35.7,659,0
320,246,456,226,433,21.5,35.7,697,0
314,243,450,274,432,21.5,35.9,647,0
322,253,456,246,435,21.6,35.6,555,0
320,232,451,222,429,21.5,35.7,783,0
322,251,454,232,428,21.5,35.9,646,0
324,241,491,235,430,21.5,35.9,674,0
322,252,460,233,427,21.6,35.6,697,0
323,228,447,215,434,21.4,35.7,667,0
321,245,456,234,427,21.5,35.6,615,0
318,244,444,233,428,21.6,35.5,625,0
322,246,450,222,435,21.5,35.7,680,0
309,253,443,251,430,21.5,35.6,661,0
321,237,452,223,440,21.5,35.6,720,0
318,247,460,236,428,21.5,35.6,666,0
322,256,434,240,423,21.5,35.9,551,0
321,257,454,228,434,21.5,35.7,717,0
291,248,439,236,423,21.5,35.7,802,0
324,235,446,220,434,21.4,35.6,676,0
310,243,445,230,419,21.5,35.6,739,0
320,246,458,232,434,21.4,35.7,675,0
322,247,453,266,433,21.6,35.5,631,0
324,244,474,236,433,21.5,35.9,654,0
309,250,445,234,432,21.5,35.7,587,0
320,213,450,205,430,21.5,35.7,587,0
335,245,450,245,432,21.5,35.7,675,0
324,231,441,223,430,21.5,35.9,731,0
315,240,456,260,426,21.5,35.8,697,0
322,249,454,234,428,21.5,35.7,687,0
317,230,449,219,428,21.5,35.7,662,0
