Timestamp,MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label
14:46:00.522,324,235,460,228,434,21.6,35.3,412,0
14:46:01.050,317,245,456,237,424,21.7,35.3,272,0
14:46:01.579,318,228,458,223,438,21.7,35.3,200,0
14:46:02.109,318,253,454,216,442,21.7,35.3,300,0
14:46:02.637,318,235,473,236,437,21.6,35.3,303,0
14:46:03.166,321,237,443,219,429,21.7,35.4,329,0
14:46:03.694,317,233,455,249,432,21.6,35.3,344,0
14:46:04.223,327,241,452,265,434,21.8,35.2,356,0
14:46:04.750,321,235,452,261,439,21.6,35.3,330,0
14:46:05.279,320,244,458,248,436,21.7,35.3,448,0
14:46:05.808,308,240,440,236,429,21.6,35.3,439,0
14:46:06.336,320,240,460,238,434,21.6,35.3,301,0
14:46:06.864,318,223,455,226,431,21.6,35.3,359,0
14:46:07.391,323,237,492,235,434,21.6,35.3,329,0
14:46:07.920,321,236,454,258,421,21.6,35.3,351,0
14:46:08.448,320,237,453,274,432,21.6,35.3,296,0
14:46:08.976,296,233,441,234,431,21.6,35.3,286,0
14:46:09.504,325,247,462,237,430,21.6,35.3,367,0
14:46:10.032,324,245,442,239,433,21.6,35.3,403,0
14:46:10.560,322,246,457,244,434,21.6,35.4,338,0
14:46:11.087,321,239,455,241,435,21.6,35.3,318,0
14:46:11.616,317,236,497,233,436,21.6,35.3,280,0
14:46:12.143,317,223,456,234,429,21.7,35.3,391,0
14:46:12.673,318,233,454,230,417,21.6,35.3,337,0
14:46:13.200,316,241,452,238,435,21.7,34.8,398,0
14:46:13.728,328,248,453,238,432,21.6,35.3,303,0
14:46:14.257,314,215,456,218,431,21.6,35.3,406,0
14:46:14.784,320,236,452,231,432,21.6,35.3,415,0
14:46:15.313,323,242,456,234,434,21.7,35.3,327,0
14:46:15.841,321,239,466,234,432,21.6,35.3,323,0
14:46:16.370,324,200,480,238,428,21.6,35.3,325,0
14:46:16.897,318,235,450,233,420,21.6,35.3,312,0
14:46:17.425,322,247,459,250,432,21.6,35.3,320,0
14:46:17.954,315,247,441,238,440,21.6,35.3,377,0
14:46:18.481,311,248,440,241,433,21.6,35.3,352,0
14:46:19.009,327,244,452,250,437,21.6,35.4,281,0
14:46:19.537,315,235,450,232,433,21.6,35.5,359,0
14:46:20.067,336,229,459,225,431,21.6,35.4,350,0
14:46:20.594,308,229,453,224,435,21.6,35.4,354,0
14:46:21.123,318,250,452,226,427,21.6,35.4,393,0
14:46:21.650,323,244,453,235,434,21.6,35.4,370,0
14:46:22.179,315,241,442,251,440,21.6,35.4,418,0
14:46:22.706,315,283,440,235,436,21.6,35.4,408,0
14:46:23.235,320,240,473,241,436,21.6,35.4,216,0
14:46:23.762,321,239,450,230,438,21.6,35.4,332,0
14:46:24.290,320,241,472,236,434,21.6,35.4,370,0
14:46:24.818,321,239,458,233,424,21.5,35.5,375,0
14:46:25.346,318,245,455,231,434,21.6,35.4,359,0
14:46:25.874,320,237,458,236,430,21.6,35.3,363,0
14:46:26.403,322,237,456,235,416,21.6,35.5,438,0
14:46:26.931,323,241,455,238,458,21.6,35.8,326,0
14:46:27.459,300,234,436,234,431,21.6,35.5,287,0
14:46:27.988,285,246,451,229,425,21.6,35.4,355,0
14:46:28.516,318,233,454,238,436,21.7,35.4,339,0
14:46:29.045,325,241,452,242,426,21.6,35.4,328,0
14:46:29.573,320,236,534,235,432,21.7,35.4,235,0
14:46:30.102,323,240,462,222,431,21.6,35.4,321,0
14:46:30.630,317,238,446,234,427,21.6,35.4,325,0
14:46:31.158,320,238,450,292,432,21.6,35.3,427,0
14:46:31.686,317,231,456,230,440,21.6,35.3,367,0
14:46:32.214,300,251,436,236,373,21.6,35.4,407,0
14:46:32.742,313,234,454,230,432,21.6,35.8,386,0
14:46:33.270,323,239,488,239,436,21.6,35.4,251,0
14:46:33.798,317,234,452,230,433,21.7,35.4,337,0
14:46:34.328,329,192,455,235,428,21.6,35.4,316,0
14:46:34.855,325,237,456,241,434,21.6,35.4,403,0
14:46:35.383,316,251,448,232,428,21.6,35.4,409,0
14:46:35.911,320,238,456,273,438,21.6,35.3,273,0
14:46:36.439,320,244,454,241,435,21.6,35.3,344,0
14:46:36.967,322,247,456,244,434,21.6,35.3,334,0
14:46:37.495,324,235,459,228,426,21.6,35.3,433,0
14:46:38.023,320,246,460,254,442,21.6,35.3,360,0
14:46:38.551,321,219,456,216,432,21.6,35.3,380,0
14:46:39.079,318,237,498,236,440,21.6,35.3,362,0
14:46:39.607,320,256,468,236,431,21.6,35.3,428,0
14:46:40.135,322,241,459,236,438,21.7,35.3,382,0
14:46:40.664,327,229,460,227,433,21.6,35.4,356,0
14:46:41.192,323,241,462,238,406,21.6,35.3,332,0
14:46:41.720,322,238,460,236,438,21.7,35.3,302,0
14:46:42.249,324,245,453,239,434,21.6,35.4,268,0
14:46:42.777,316,235,452,237,435,21.6,35.3,304,0
14:46:43.305,322,243,463,225,432,21.6,35.3,357,0
14:46:43.833,317,232,490,240,433,21.6,35.3,327,0
14:46:44.361,332,241,452,238,439,21.6,35.4,353,0
14:46:44.889,326,101,448,227,440,21.6,35.3,343,0
14:46:45.417,320,244,453,248,394,21.6,35.4,314,0
14:46:45.945,317,243,454,238,438,21.6,35.3,347,0
14:46:46.472,320,242,446,235,422,21.6,35.4,403,0
14:46:47.001,322,233,499,232,427,21.6,35.3,349,0
14:46:47.528,313,246,450,238,436,21.6,35.3,312,0
14:46:48.056,316,238,446,266,429,21.6,35.3,244,0
14:46:48.584,305,236,441,233,432,21.8,35.2,364,0
14:46:49.113,316,237,478,227,432,21.6,35.4,340,0
14:46:49.641,322,248,451,228,432,21.7,35.3,403,0
14:46:50.170,320,245,458,260,432,21.6,35.5,267,0
14:46:50.699,325,232,468,241,408,21.6,35.3,333,0
